Year,Annum
1914,14.0
1915,7.0
1916,79.8
1917,175.2
1918,181.1
1919,149.5
1920,147.3
1921,-105.29999999999998
1922,-59.8
1923,19.199999999999996
1924,4.200000000000002
1925,26.299999999999997
1926,4.300000000000001
1927,-17.4
1928,-11.499999999999998
1929,2.4000000000000004
1930,-31.799999999999997
1931,-88.9
1932,-102.9
1933,-43.70000000000001
1934,31.000000000000004
1935,22.999999999999996
1936,13.8
1937,35.300000000000004
1938,-21.4
1939,-10.499999999999998
1940,5.700000000000001
1941,56.300000000000004
1942,105.89999999999999
1943,56.7
1944,19.2
1945,23.400000000000002
1946,94.4
1947,138.3
1948,74.99999999999999
1949,-11.399999999999999
1950,14.799999999999999
1951,76.10000000000001
1952,23.1
1953,7.700000000000001
1954,2.3000000000000007
1955,-2.0
1956,16.5
1957,32.800000000000004
1958,25.900000000000006
1959,11.299999999999999
1960,14.100000000000001
1961,11.099999999999998
1962,11.500000000000002
1963,12.700000000000001
1964,12.700000000000001
1965,15.7
1966,30.5
1967,27.999999999999996
1968,43.300000000000004
1969,54.400000000000006
1970,58.00000000000001
1971,43.099999999999994
1972,32.5
1973,63.400000000000006
1974,111.6
1975,90.60000000000001
1976,57.0
1977,64.2
1978,77.8
1979,113.49999999999999
1980,133.8
1981,104.5
1982,60.699999999999996
1983,31.4
1984,42.9
1985,35.0
1986,20.000000000000004
1987,36.3
1988,40.9
1989,47.5
1990,55.699999999999996
1991,41.2
1992,30.1
1993,29.099999999999998
1994,26.700000000000003
1995,27.400000000000002
1996,29.5
1997,23.3
1998,15.5
1999,21.9
2000,34.199999999999996
2001,26.900000000000002
2002,16.2
2003,23.0
2004,26.8
2005,34.300000000000004
2006,31.1
2007,29.1
2008,38.1
2009,-2.2
2010,15.299999999999997
2011,31.199999999999996
2012,21.0
2013,15.299999999999997
2014,15.5
2015,1.7
2016,13.099999999999998
2017,21.3
2018,24.1
2019,18.0
2020,14.399999999999999
2021,47.2
2022,79.3
2023,40.699999999999996
