Year,variable,Inflation,Quarter
1914,Q1,1.3333333333333333,1914-1
1915,Q1,0.6666666666666666,1915-1
1916,Q1,4.366666666666666,1916-1
1917,Q1,14.066666666666668,1917-1
1918,Q1,17.96666666666667,1918-1
1919,Q1,16.633333333333333,1919-1
1920,Q1,19.166666666666668,1920-1
1921,Q1,-4.766666666666667,1921-1
1922,Q1,-9.333333333333332,1922-1
1923,Q1,-0.19999999999999998,1923-1
1924,Q1,2.4,1924-1
1925,Q1,0.39999999999999997,1925-1
1926,Q1,3.5,1926-1
1927,Q1,-2.6,1927-1
1928,Q1,-1.3333333333333333,1928-1
1929,Q1,-0.6,1929-1
1930,Q1,-0.39999999999999997,1930-1
1931,Q1,-7.433333333333334,1931-1
1932,Q1,-10.2,1932-1
1933,Q1,-9.9,1933-1
1934,Q1,4.2,1934-1
1935,Q1,3.0,1935-1
1936,Q1,0.7333333333333334,1936-1
1937,Q1,2.6666666666666665,1937-1
1938,Q1,0.0,1938-1
1939,Q1,-1.3999999999999997,1939-1
1940,Q1,0.2333333333333333,1940-1
1941,Q1,1.1666666666666665,1941-1
1942,Q1,12.033333333333331,1942-1
1943,Q1,7.366666666666667,1943-1
1944,Q1,2.4,1944-1
1945,Q1,2.3,1945-1
1946,Q1,2.2333333333333334,1946-1
1947,Q1,18.86666666666667,1947-1
1948,Q1,8.766666666666667,1948-1
1949,Q1,1.4333333333333333,1949-1
1950,Q1,-1.4000000000000001,1950-1
1951,Q1,8.933333333333334,1951-1
1952,Q1,2.8333333333333335,1952-1
1953,Q1,0.7666666666666667,1953-1
1954,Q1,1.2333333333333334,1954-1
1955,Q1,-0.6999999999999998,1955-1
1956,Q1,0.4000000000000001,1956-1
1957,Q1,3.366666666666667,1957-1
1958,Q1,3.466666666666667,1958-1
1959,Q1,0.8999999999999999,1959-1
1960,Q1,1.4666666666666668,1960-1
1961,Q1,1.5,1961-1
1962,Q1,0.9,1962-1
1963,Q1,1.2,1963-1
1964,Q1,1.5,1964-1
1965,Q1,1.0999999999999999,1965-1
1966,Q1,2.3666666666666667,1966-1
1967,Q1,3.033333333333333,1967-1
1968,Q1,3.8333333333333335,1968-1
1969,Q1,4.766666666666667,1969-1
1970,Q1,6.033333333333334,1970-1
1971,Q1,5.0,1971-1
1972,Q1,3.4333333333333336,1972-1
1973,Q1,4.033333333333333,1973-1
1974,Q1,9.933333333333332,1974-1
1975,Q1,11.1,1975-1
1976,Q1,6.366666666666667,1976-1
1977,Q1,5.833333333333333,1977-1
1978,Q1,6.599999999999999,1978-1
1979,Q1,9.766666666666667,1979-1
1980,Q1,14.300000000000002,1980-1
1981,Q1,11.233333333333334,1981-1
1982,Q1,7.6000000000000005,1982-1
1983,Q1,3.6,1983-1
1984,Q1,4.533333333333334,1984-1
1985,Q1,3.5666666666666664,1985-1
1986,Q1,3.1,1986-1
1987,Q1,2.1999999999999997,1987-1
1988,Q1,3.9333333333333336,1988-1
1989,Q1,4.833333333333333,1989-1
1990,Q1,5.233333333333333,1990-1
1991,Q1,5.3,1991-1
1992,Q1,2.866666666666667,1992-1
1993,Q1,3.1999999999999997,1993-1
1994,Q1,2.5,1994-1
1995,Q1,2.8666666666666667,1995-1
1996,Q1,2.733333333333333,1996-1
1997,Q1,2.9333333333333336,1997-1
1998,Q1,1.4666666666666668,1998-1
1999,Q1,1.6666666666666667,1999-1
2000,Q1,3.233333333333333,2000-1
2001,Q1,3.3666666666666667,2001-1
2002,Q1,1.2333333333333334,2002-1
2003,Q1,2.8666666666666667,2003-1
2004,Q1,1.7666666666666666,2004-1
2005,Q1,3.033333333333333,2005-1
2006,Q1,3.6666666666666665,2006-1
2007,Q1,2.433333333333333,2007-1
2008,Q1,4.1000000000000005,2008-1
2009,Q1,-0.06666666666666667,2009-1
2010,Q1,2.3333333333333335,2010-1
2011,Q1,2.1333333333333333,2011-1
2012,Q1,2.8333333333333335,2012-1
2013,Q1,1.7,2013-1
2014,Q1,1.4000000000000001,2014-1
2015,Q1,-0.06666666666666667,2015-1
2016,Q1,1.0999999999999999,2016-1
2017,Q1,2.533333333333333,2017-1
2018,Q1,2.233333333333334,2018-1
2019,Q1,1.6666666666666667,2019-1
2020,Q1,2.1,2020-1
2021,Q1,1.8999999999999997,2021-1
2022,Q1,7.966666666666666,2022-1
2023,Q1,5.8,2023-1
1914,Q2,1.0333333333333334,1914-2
1915,Q2,2.0,1915-2
1916,Q2,6.266666666666667,1916-2
1917,Q2,19.633333333333333,1917-2
1918,Q2,13.033333333333333,1918-2
1919,Q2,16.400000000000002,1919-2
1920,Q2,22.400000000000002,1920-2
1921,Q2,-13.566666666666668,1921-2
1922,Q2,-6.133333333333333,1922-2
1923,Q2,1.4000000000000001,1923-2
1924,Q2,0.39999999999999997,1924-2
1925,Q2,1.9666666666666668,1925-2
1926,Q2,2.6999999999999997,1926-2
1927,Q2,-2.0666666666666664,1927-2
1928,Q2,-1.7,1928-2
1929,Q2,-0.7999999999999999,1929-2
1930,Q2,-0.6,1930-2
1931,Q2,-9.466666666666667,1931-2
1932,Q2,-10.233333333333334,1932-2
1933,Q2,-8.0,1933-2
1934,Q2,5.566666666666666,1934-2
1935,Q2,3.266666666666667,1935-2
1936,Q2,-0.2333333333333333,1936-2
1937,Q2,4.6000000000000005,1937-2
1938,Q2,-1.6333333333333335,1938-2
1939,Q2,-2.3333333333333335,1939-2
1940,Q2,1.6666666666666667,1940-2
1941,Q2,3.1,1941-2
1942,Q2,12.233333333333333,1942-2
1943,Q2,7.633333333333333,1943-2
1944,Q2,0.39999999999999997,1944-2
1945,Q2,2.2666666666666666,1945-2
1946,Q2,3.3666666666666667,1946-2
1947,Q2,18.333333333333332,1947-2
1948,Q2,9.1,1948-2
1949,Q2,-0.26666666666666666,1949-2
1950,Q2,-0.7000000000000001,1950-2
1951,Q2,9.133333333333335,1951-2
1952,Q2,2.1666666666666665,1952-2
1953,Q2,1.0,1953-2
1954,Q2,0.6333333333333333,1954-2
1955,Q2,-0.6,1955-2
1956,Q2,1.2333333333333334,1956-2
1957,Q2,3.5666666666666664,1957-2
1958,Q2,3.2000000000000006,1958-2
1959,Q2,0.4333333333333333,1959-2
1960,Q2,1.7,1960-2
1961,Q2,0.9,1961-2
1962,Q2,1.3,1962-2
1963,Q2,1.0999999999999999,1963-2
1964,Q2,1.3,1964-2
1965,Q2,1.7,1965-2
1966,Q2,2.766666666666667,1966-2
1967,Q2,2.6999999999999997,1967-2
1968,Q2,4.0,1968-2
1969,Q2,5.5,1969-2
1970,Q2,6.033333333333334,1970-2
1971,Q2,4.4,1971-2
1972,Q2,3.1333333333333333,1972-2
