Year,variable,Inflation,Quarter
1914,Q1,0.013333333333333332,1914-1
1915,Q1,0.006666666666666666,1915-1
1916,Q1,0.04366666666666666,1916-1
1917,Q1,0.1406666666666667,1917-1
1918,Q1,0.1796666666666667,1918-1
1919,Q1,0.16633333333333333,1919-1
1920,Q1,0.19166666666666668,1920-1
1921,Q1,-0.04766666666666666,1921-1
1922,Q1,-0.09333333333333332,1922-1
1923,Q1,-0.002,1923-1
1924,Q1,0.024,1924-1
1925,Q1,0.004,1925-1
1926,Q1,0.035,1926-1
1927,Q1,-0.026000000000000002,1927-1
1928,Q1,-0.013333333333333332,1928-1
1929,Q1,-0.006,1929-1
1930,Q1,-0.004,1930-1
1931,Q1,-0.07433333333333333,1931-1
1932,Q1,-0.102,1932-1
1933,Q1,-0.099,1933-1
1934,Q1,0.042,1934-1
1935,Q1,0.03,1935-1
1936,Q1,0.007333333333333334,1936-1
1937,Q1,0.026666666666666665,1937-1
1938,Q1,0.0,1938-1
1939,Q1,-0.013999999999999997,1939-1
1940,Q1,0.002333333333333333,1940-1
1941,Q1,0.011666666666666665,1941-1
1942,Q1,0.12033333333333332,1942-1
1943,Q1,0.07366666666666667,1943-1
1944,Q1,0.024,1944-1
1945,Q1,0.023,1945-1
1946,Q1,0.022333333333333334,1946-1
1947,Q1,0.1886666666666667,1947-1
1948,Q1,0.08766666666666667,1948-1
1949,Q1,0.014333333333333333,1949-1
1950,Q1,-0.014000000000000002,1950-1
1951,Q1,0.08933333333333333,1951-1
1952,Q1,0.028333333333333335,1952-1
1953,Q1,0.007666666666666667,1953-1
1954,Q1,0.012333333333333333,1954-1
1955,Q1,-0.006999999999999998,1955-1
1956,Q1,0.004000000000000001,1956-1
1957,Q1,0.03366666666666667,1957-1
1958,Q1,0.034666666666666665,1958-1
1959,Q1,0.009,1959-1
1960,Q1,0.014666666666666668,1960-1
1961,Q1,0.015,1961-1
1962,Q1,0.009000000000000001,1962-1
1963,Q1,0.012,1963-1
1964,Q1,0.015,1964-1
1965,Q1,0.011,1965-1
1966,Q1,0.023666666666666666,1966-1
1967,Q1,0.030333333333333334,1967-1
1968,Q1,0.03833333333333334,1968-1
1969,Q1,0.04766666666666666,1969-1
