iter	Passed	Remaining
0	4	4434
1	8	4327
2	15	5108
3	21	5435
4	27	5555
5	34	5657
6	41	5856
7	48	5953
8	54	5979
9	60	5962
10	66	5971
11	72	5962
12	78	5982
13	85	5988
14	91	5995
15	97	5996
16	104	6016
17	110	6006
18	116	6002
19	122	5993
20	128	5994
21	135	6001
22	140	5980
23	147	5990
24	153	5987
25	159	5976
26	165	5967
27	172	5977
28	178	5971
29	184	5970
30	190	5962
31	197	5963
32	203	5960
33	209	5960
34	215	5950
35	222	5952
36	228	5946
37	234	5937
38	240	5935
39	246	5922
40	253	5929
41	257	5872
42	263	5870
43	269	5864
44	276	5864
45	282	5857
46	288	5855
47	294	5849
48	301	5846
49	307	5836
50	313	5831
51	319	5830
52	325	5823
53	332	5817
54	338	5818
55	344	5815
56	351	5809
57	357	5803
58	363	5793
59	369	5786
60	375	5776
61	381	5773
62	388	5777
63	395	5777
64	401	5776
65	408	5778
66	414	5770
67	420	5766
68	426	5759
69	432	5750
70	439	5749
71	445	5746
72	452	5748
73	458	5742
74	465	5736
75	471	5726
76	477	5722
77	483	5714
78	490	5713
79	496	5711
80	502	5705
81	509	5703
82	515	5698
83	522	5696
84	528	5691
85	534	5683
86	541	5680
87	547	5673
88	554	5671
89	559	5661
90	566	5656
91	572	5648
92	578	5637
93	584	5630
94	589	5620
95	596	5614
96	602	5607
97	608	5604
98	615	5601
99	621	5597
100	627	5587
101	634	5582
102	640	5573
103	646	5565
104	651	5556
105	658	5549
106	664	5546
107	671	5544
108	677	5540
109	683	5531
110	690	5526
111	695	5516
112	701	5505
113	707	5496
114	713	5493
115	719	5485
116	726	5480
117	732	5472
118	738	5465
119	744	5457
120	750	5449
121	756	5444
122	762	5436
123	768	5431
124	774	5422
125	780	5415
126	786	5408
127	792	5401
128	798	5393
129	805	5389
130	811	5381
131	817	5373
132	822	5363
133	828	5354
134	834	5347
135	840	5338
136	846	5332
137	852	5325
138	858	5318
139	864	5310
140	868	5288
141	874	5283
142	880	5276
143	886	5270
144	890	5248
145	893	5226
146	899	5219
147	902	5197
148	908	5189
149	915	5186
150	921	5179
151	928	5178
152	931	5158
153	938	5154
154	941	5134
155	945	5114
156	952	5113
157	958	5108
158	964	5103
159	970	5096
160	976	5090
161	982	5082
162	988	5074
163	994	5067
164	997	5048
165	1004	5044
166	1010	5038
167	1016	5031
168	1022	5025
169	1025	5007
170	1029	4992
171	1035	4986
172	1041	4980
173	1045	4963
174	1056	4982
175	1064	4982
176	1073	4990
177	1082	4999
178	1089	4998
179	1097	5000
180	1103	4993
181	1110	4990
182	1113	4973
183	1121	4972
184	1128	4969
185	1134	4966
186	1141	4961
187	1147	4956
188	1153	4950
189	1159	4943
190	1165	4937
191	1171	4929
192	1174	4912
193	1180	4906
194	1186	4899
195	1192	4892
196	1198	4884
197	1204	4879
198	1210	4872
199	1216	4866
